query,plan,execution_time (ms),tables
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 4}}",0.041,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_comment, n_name, n_regionkey, n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 109}}",0.045,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select r_name from region ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""region"", ""Alias"": ""region"", ""Startup Cost"": 0.0, ""Total Cost"": 1.05, ""Plan Rows"": 5, ""Plan Width"": 26}}",0.7,"[""region""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select r_regionkey from region ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""region"", ""Alias"": ""region"", ""Startup Cost"": 0.0, ""Total Cost"": 1.05, ""Plan Rows"": 5, ""Plan Width"": 4}}",0.033,"[""region""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select r_comment from region ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""region"", ""Alias"": ""region"", ""Startup Cost"": 0.0, ""Total Cost"": 1.05, ""Plan Rows"": 5, ""Plan Width"": 67}}",0.033,"[""region""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select r_comment, r_regionkey from region ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""region"", ""Alias"": ""region"", ""Startup Cost"": 0.0, ""Total Cost"": 1.05, ""Plan Rows"": 5, ""Plan Width"": 71}}",0.044,"[""region""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select r_name, r_comment from region ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""region"", ""Alias"": ""region"", ""Startup Cost"": 0.0, ""Total Cost"": 1.05, ""Plan Rows"": 5, ""Plan Width"": 93}}",0.04,"[""region""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select r_name, r_regionkey from region ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""region"", ""Alias"": ""region"", ""Startup Cost"": 0.0, ""Total Cost"": 1.05, ""Plan Rows"": 5, ""Plan Width"": 30}}",0.033,"[""region""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select r_name, r_comment, r_regionkey from region ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""region"", ""Alias"": ""region"", ""Startup Cost"": 0.0, ""Total Cost"": 1.05, ""Plan Rows"": 5, ""Plan Width"": 97}}",0.041,"[""region""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_comment from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 63}}",80.832,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_suppkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 4}}",6.706,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 4}}",7.006,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 16}}",7.189,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 25}}",6.713,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 26}}",6.5,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 6}}",7.744,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 10}}",7.575,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_nationkey, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 30}}",7.548,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 8}}",7.489,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_comment, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 89}}",8.336,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 41}}",7.523,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_comment from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 88}}",8.691,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_comment from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 69}}",7.679,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_comment, s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 79}}",7.675,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_suppkey, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 30}}",6.793,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_suppkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 10}}",8.522,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_nationkey, s_comment from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 73}}",7.75,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_comment, s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 104}}",8.683,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_suppkey, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 36}}",7.853,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_suppkey, s_address from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 35}}",7.583,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_nationkey, s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 26}}",7.709,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_comment, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 114}}",7.841,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_suppkey, s_nationkey, s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 24}}",7.614,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_suppkey, s_address, s_comment from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 92}}",7.627,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_phone, s_nationkey, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 46}}",7.635,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_nationkey, s_address, s_comment from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 92}}",8.037,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_phone, s_suppkey, s_nationkey, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 50}}",7.515,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_address, s_comment, s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 110}}",7.951,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_phone, s_nationkey, s_address, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 71}}",9.093,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_suppkey, s_phone, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 52}}",7.929,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_nationkey, s_address, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 61}}",8.615,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_phone, s_address, s_comment, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 130}}",7.643,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_nationkey, s_address, s_comment, s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 108}}",7.681,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_nationkey, s_comment, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 99}}",8.218,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_suppkey, s_nationkey, s_address, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 59}}",7.959,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_acctbal, s_phone, s_nationkey, s_name from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 52}}",7.563,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_phone, s_name, s_acctbal, s_comment, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 115}}",7.705,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_phone, s_name, s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 75}}",8.165,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_phone, s_name, s_comment, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 134}}",8.284,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_acctbal, s_comment, s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 102}}",8.679,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_phone, s_acctbal, s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 55}}",7.6,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_phone, s_comment, s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 112}}",8.067,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_name, s_acctbal, s_comment, s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 103}}",8.221,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_phone, s_acctbal, s_comment, s_suppkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 114}}",14.09,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_phone, s_name, s_comment, s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 113}}",8.83,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_name, s_acctbal, s_comment, s_suppkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 124}}",7.801,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_phone, s_acctbal, s_comment, s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 118}}",7.951,"[""supplier""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_address, s_name, s_acctbal, s_comment, s_suppkey, s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 128}}",8.01,"[""supplier""]"
