query,execution_time,table1_stats_filepath,table2_stats_filepath
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_suppkey, l_shipmode, l_linenumber, l_comment, l_shipdate from lineitem ;",13603.843,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_size, p_mfgr, p_container, p_brand, p_type, p_retailprice from part ;",238.699,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_returnflag, l_discount, l_shipmode, l_quantity, l_linenumber, l_comment from lineitem ;",14217.981,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_retailprice, p_partkey, p_mfgr, p_container from part ;",229.936,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_orderstatus, o_comment, o_orderpriority from orders ;",2418.782,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_orderstatus, o_custkey from orders ;",1747.977,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_comment, o_clerk, o_totalprice from orders ;",1671.143,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_suppkey, l_returnflag, l_partkey, l_shipmode, l_receiptdate, l_shipdate from lineitem ;",14092.406,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_comment from customer ;",184.245,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_suppkey, s_phone, s_comment from supplier ;",21.446,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_comment, ps_partkey, ps_availqty from partsupp ;",1103.492,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_suppkey, l_extendedprice, l_returnflag, l_discount, l_shipinstruct, l_receiptdate, l_tax, l_orderkey from lineitem ;",13851.3,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_type, p_retailprice from part ;",229.037,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_name, c_mktsegment, c_custkey from customer ;",171.905,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_custkey, o_totalprice, o_orderstatus, o_comment, o_shippriority from orders ;",2406.659,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_name from part ;",205.965,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_partkey from partsupp ;",1074.889,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_orderdate, o_comment, o_orderpriority, o_shippriority, o_orderkey from orders ;",2836.672,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_discount, l_comment, l_shipinstruct from lineitem ;",13684.432,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_orderstatus, o_orderdate, o_orderpriority, o_shippriority, o_orderkey from orders ;",2915.179,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_name, s_suppkey from supplier ;",19.911,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_nationkey from nation ;",0.059,table_info\nation_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_nationkey, s_address, s_name, s_comment, s_acctbal from supplier ;",21.434,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_commitdate, l_linestatus, l_shipinstruct from lineitem ;",14175.992,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_acctbal from customer ;",173.151,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_size, p_mfgr, p_retailprice, p_container, p_type from part ;",233.318,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select r_regionkey, r_comment from region ;",0.059,table_info\region_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_comment, o_orderpriority, o_shippriority, o_orderkey from orders ;",1988.433,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_nationkey, s_address, s_name, s_comment, s_phone, s_acctbal from supplier ;",21.618,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_commitdate, l_suppkey, l_extendedprice, l_partkey, l_returnflag, l_discount, l_shipinstruct, l_receiptdate, l_tax, l_orderkey from lineitem ;",14643.97,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_orderstatus, o_orderdate, o_clerk, o_orderkey from orders ;",1993.506,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_address, c_nationkey, c_name, c_acctbal, c_comment, c_phone, c_custkey from customer ;",185.226,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_extendedprice, l_partkey, l_returnflag, l_discount, l_shipinstruct, l_shipmode, l_quantity, l_receiptdate, l_linenumber, l_tax, l_orderkey, l_comment, l_shipdate from lineitem ;",14284.807,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_orderstatus, o_orderdate, o_comment, o_orderpriority, o_shippriority from orders ;",2377.327,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_discount, l_extendedprice, l_orderkey from lineitem ;",14360.658,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_partkey, l_discount, l_shipinstruct, l_linenumber, l_receiptdate, l_orderkey from lineitem ;",14303.224,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_type from part ;",229.842,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_partkey, ps_availqty, ps_suppkey from partsupp ;",1047.811,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_orderstatus, o_orderdate, o_comment, o_orderpriority, o_shippriority, o_orderkey from orders ;",2408.296,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_address, s_name, s_comment, s_phone, s_acctbal from supplier ;",65.246,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_name, p_mfgr, p_brand, p_container, p_type, p_retailprice, p_partkey, p_comment from part ;",237.726,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_orderkey from lineitem ;",13978.569,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_comment, o_orderpriority, o_orderkey from orders ;",2933.374,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_totalprice, o_orderstatus, o_orderdate, o_comment, o_shippriority from orders ;",2237.21,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_partkey, p_type from part ;",230.465,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_extendedprice, l_returnflag, l_discount, l_shipinstruct, l_shipmode, l_quantity, l_receiptdate, l_linenumber, l_tax, l_orderkey, l_comment, l_shipdate from lineitem ;",14365.175,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_shippriority, o_totalprice from orders ;",2442.842,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select r_regionkey from region ;",0.051,table_info\region_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_address, c_mktsegment from customer ;",177.881,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_commitdate from lineitem ;",14396.17,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_extendedprice, l_partkey, l_discount, l_orderkey, l_shipdate from lineitem ;",14251.848,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_comment, p_name, p_size, p_container from part ;",232.856,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_comment, ps_availqty from partsupp ;",1111.412,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_mfgr, p_retailprice, p_brand, p_type, p_partkey, p_comment from part ;",235.548,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_name, c_acctbal, c_comment, c_phone from customer ;",175.005,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_returnflag, l_shipmode, l_quantity, l_linenumber, l_shipdate from lineitem ;",14043.978,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_name, p_size, p_container, p_brand, p_type, p_retailprice from part ;",256.984,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_nationkey, c_address, c_mktsegment, c_acctbal from customer ;",180.162,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_orderdate from orders ;",2398.763,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_suppkey, l_extendedprice, l_returnflag, l_discount, l_quantity, l_linenumber, l_tax, l_comment, l_shipdate from lineitem ;",14558.107,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_totalprice, o_orderstatus, o_orderdate, o_comment, o_orderpriority, o_shippriority, o_orderkey from orders ;",2800.002,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_commitdate, l_suppkey, l_extendedprice, l_partkey, l_shipinstruct, l_shipmode, l_receiptdate, l_tax, l_orderkey, l_shipdate from lineitem ;",14267.684,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_custkey, o_totalprice, o_orderstatus, o_orderdate, o_comment from orders ;",2018.71,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_custkey from customer ;",193.494,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_shippriority, o_orderkey from orders ;",2840.434,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_partkey, p_container, p_size, p_brand from part ;",228.024,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_retailprice, p_container from part ;",233.183,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_mktsegment, c_address, c_nationkey, c_name, c_acctbal, c_comment, c_phone, c_custkey from customer ;",182.367,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_extendedprice, l_partkey, l_returnflag, l_discount, l_shipinstruct, l_shipmode, l_receiptdate, l_linenumber, l_tax, l_orderkey, l_comment, l_shipdate from lineitem ;",14340.223,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_mfgr, p_name, p_size, p_retailprice from part ;",243.447,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_nationkey, c_name, c_comment, c_phone, c_custkey from customer ;",182.821,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_address, s_comment from supplier ;",21.444,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_returnflag, l_partkey, l_shipmode, l_quantity, l_receiptdate, l_tax from lineitem ;",14211.144,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_orderpriority, o_orderkey from orders ;",2450.453,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from partsupp        left join lineitem on partsupp.ps_partkey=lineitem.l_partkey        where partsupp.ps_partkey > 301367.0 and lineitem.l_partkey > 298307.0 ;",27133.886,table_info\partsupp_table_stats.json,table_info\lineitem_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part        right join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 100291.0 and partsupp.ps_partkey > 399973.0 ;",1452.251,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part        right join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 197904.0 and partsupp.ps_partkey > 301367.0 ;",1889.291,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from partsupp        left join lineitem on partsupp.ps_suppkey=lineitem.l_suppkey        where partsupp.ps_suppkey > 4998.0 and lineitem.l_suppkey > 20000.0 ;",18005.719,table_info\partsupp_table_stats.json,table_info\lineitem_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from partsupp        left join lineitem on partsupp.ps_partkey=lineitem.l_partkey        where partsupp.ps_partkey > 399973.0 and lineitem.l_partkey > 298307.0 ;",18006.809,table_info\partsupp_table_stats.json,table_info\lineitem_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from orders        left join lineitem on orders.o_orderkey=lineitem.l_orderkey ;",48476.158,table_info\orders_table_stats.json,table_info\lineitem_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from customer        right join orders on customer.c_custkey=orders.o_custkey        where customer.c_custkey > 32.0 and orders.o_custkey > 225127.0 ;",5187.931,table_info\customer_table_stats.json,table_info\orders_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from partsupp        left join lineitem on partsupp.ps_partkey=lineitem.l_partkey        where partsupp.ps_partkey > 301367.0 and lineitem.l_partkey > 199567.0 ;",31770.017,table_info\partsupp_table_stats.json,table_info\lineitem_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from customer        inner join orders on customer.c_custkey=orders.o_custkey        where customer.c_custkey > 32.0 and orders.o_custkey > 7.0 ;",11331.09,table_info\customer_table_stats.json,table_info\orders_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from orders        inner join lineitem on orders.o_orderkey=lineitem.l_orderkey        where orders.o_orderkey > 3003489.0 and lineitem.l_orderkey > 11999872.0 ;",23494.393,table_info\orders_table_stats.json,table_info\lineitem_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from partsupp        inner join lineitem on partsupp.ps_partkey=lineitem.l_partkey        where partsupp.ps_partkey > 12.0 and lineitem.l_partkey > 199567.0 ;",42446.077,table_info\partsupp_table_stats.json,table_info\lineitem_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from region        inner join nation on region.r_regionkey=nation.n_regionkey ;",0.156,table_info\region_table_stats.json,table_info\nation_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from customer        left join orders on customer.c_custkey=orders.o_custkey        where customer.c_custkey > 32.0 and orders.o_custkey > 7.0 ;",11345.937,table_info\customer_table_stats.json,table_info\orders_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from supplier        inner join partsupp on supplier.s_suppkey=partsupp.ps_suppkey        where supplier.s_suppkey > 10037.0 and partsupp.ps_suppkey > 2.0 ;",2292.628,table_info\supplier_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from customer        right join orders on customer.c_custkey=orders.o_custkey        where customer.c_custkey > 299993.0 and orders.o_custkey > 299999.0 ;",3308.78,table_info\customer_table_stats.json,table_info\orders_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part        inner join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 1.0 and partsupp.ps_partkey > 399973.0 ;",1912.974,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from customer        inner join orders on customer.c_custkey=orders.o_custkey        where customer.c_custkey > 149530.0 and orders.o_custkey > 74380.0 ;",7784.831,table_info\customer_table_stats.json,table_info\orders_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from partsupp        right join lineitem on partsupp.ps_suppkey=lineitem.l_suppkey        where partsupp.ps_suppkey > 10033.0 and lineitem.l_suppkey > 14957.0 ;",279978.753,table_info\partsupp_table_stats.json,table_info\lineitem_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from supplier        inner join partsupp on supplier.s_suppkey=partsupp.ps_suppkey        where supplier.s_suppkey > 1.0 and partsupp.ps_suppkey > 10033.0 ;",2220.839,table_info\supplier_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) select ps_supplycost from partsupp            where ps_supplycost > 249.1 ;",54170.986,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) select c_custkey from customer            where c_custkey > 44100.0 ;",6163.446,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) select c_acctbal from customer            where c_acctbal > 8887.03 ;",2359.864,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) select c_custkey from customer            where c_custkey > 14510.0 ;",5640.903,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) select ps_suppkey from partsupp            where ps_suppkey > 4998.0 ;",28889.346,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) select o_custkey from orders            where o_custkey > 270250.0 ;",58078.589,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 1.0 and partsupp.ps_partkey > 199562.0 ;",4146.016,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from customer         join orders on customer.c_custkey=orders.o_custkey        where customer.c_custkey > 149530.0 and orders.o_custkey > 74380.0 ;",7819.221,table_info\customer_table_stats.json,table_info\orders_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 399980.0 and partsupp.ps_partkey > 301367.0 ;",1123.444,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 399980.0 and partsupp.ps_partkey > 199562.0 ;",2327.345,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from customer         join orders on customer.c_custkey=orders.o_custkey        where customer.c_custkey > 73876.0 and orders.o_custkey > 149324.0 ;",7276.094,table_info\customer_table_stats.json,table_info\orders_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from customer         join orders on customer.c_custkey=orders.o_custkey        where customer.c_custkey > 32.0 and orders.o_custkey > 299999.0 ;",3596.478,table_info\customer_table_stats.json,table_info\orders_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 298062.0 and partsupp.ps_partkey > 301367.0 ;",2030.049,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 197904.0 and partsupp.ps_partkey > 12.0 ;",4958.232,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from supplier         join partsupp on supplier.s_suppkey=partsupp.ps_suppkey        where supplier.s_suppkey > 5034.0 and partsupp.ps_suppkey > 20000.0 ;",377.796,table_info\supplier_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 197904.0 and partsupp.ps_partkey > 199562.0 ;",3408.074,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 298062.0 and partsupp.ps_partkey > 199562.0 ;",2239.741,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 100291.0 and partsupp.ps_partkey > 301367.0 ;",2723.598,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from supplier         join partsupp on supplier.s_suppkey=partsupp.ps_suppkey        where supplier.s_suppkey > 10037.0 and partsupp.ps_suppkey > 10033.0 ;",1979.762,table_info\supplier_table_stats.json,table_info\partsupp_table_stats.json
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select * from part         join partsupp on part.p_partkey=partsupp.ps_partkey        where part.p_partkey > 100291.0 and partsupp.ps_partkey > 99956.0 ;",4970.127,table_info\part_table_stats.json,table_info\partsupp_table_stats.json
